"table","file","module"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"presupuestos","apps\erp-api\src\modules\contabilidad\services\presupuestos.service.ts","contabilidad"
"empresa_config","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"empresa_config","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"empresa_config","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\ple-export.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\plan-cuentas.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"periodos_contables","apps\erp-api\src\modules\contabilidad\services\periodos.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\outbox-events.service.ts","contabilidad"
"mv_balance_comprobacion","apps\erp-api\src\modules\contabilidad\services\estados-financieros.service.ts","contabilidad"
"mv_estado_resultados","apps\erp-api\src\modules\contabilidad\services\estados-financieros.service.ts","contabilidad"
"mv_balance_general","apps\erp-api\src\modules\contabilidad\services\estados-financieros.service.ts","contabilidad"
"depreciaciones","apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts","contabilidad"
"depreciaciones","apps\erp-api\src\modules\contabilidad\services\depreciacion-scheduler.service.ts","contabilidad"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"centros_costo","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\centros-costo.service.ts","contabilidad"
"mv_balance_comprobacion","apps\erp-api\src\modules\contabilidad\services\cashflow.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"plan_cuentas","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\asientos.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"detalle_asientos","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"outbox_events","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"asientos_contables","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"plantillas_asientos_ventas","apps\erp-api\src\modules\contabilidad\services\asientos-generator.service.ts","contabilidad"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta_detalle","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta_detalle","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta_detalle","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"productos","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"movimientos_inventario","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta_detalle","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedido_despachos","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedido_backorders","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedido_backorders","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
"pedidos_venta","apps\erp-api\src\modules\inventario\logistica\logistica.service.ts","inventario"
