"file","table"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","contratos"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","empleados"
"apps\erp-api\tests\e2e\rrhh-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","roles"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","usuarios_sistema"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","user_roles"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","user_roles"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","usuarios_sistema"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","roles"
"apps\erp-api\tests\e2e\rls-anon-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","detalle_ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","metodos_pago"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","metodos_pago"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","metodos_pago"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","metodos_pago"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","sesiones_caja"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","ventas_pos"
"apps\erp-api\tests\e2e\pos-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\outbox-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\outbox-e2e.test.ts","outbox_events"
"apps\erp-api\tests\e2e\outbox-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\outbox-e2e.test.ts","outbox_events"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","almacenes"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","almacenes"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","producto_existencias"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","almacenes"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","almacenes"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","producto_existencias"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","movimientos_inventario"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","producto_existencias"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","productos"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","almacenes"
"apps\erp-api\tests\e2e\inventario-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","cpe"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\cpe-e2e.test.ts","vw_cpe_documentos_auditoria"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","ordenes_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","cotizaciones_compra"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","recepciones"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","proveedores"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
"apps\erp-api\tests\e2e\compras-e2e.test.ts","tenants"
