"table","kind","column","file"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"clientes","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta_detalle","filter","pedido_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta_detalle","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta_detalle","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta_detalle","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"pedidos_venta_detalle","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","codigo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","nombre","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","precio","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","stock_reservado","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","unidad_medida","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","select","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","tenant_id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","codigo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","nombre","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","precio","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","stock_reservado","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","activo","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","insert","unidad_medida","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","update","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","select","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","update","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","select","stock","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
"productos","filter","id","apps\erp-api\tests\e2e\ventas-e2e.test.ts"
