"file","module","object_type","object_name"
"012_parciales_backorder.sql","core","table","pedido_backorders"
"012_parciales_backorder.sql","core","function","incrementar_stock_reservado"
"012_parciales_backorder.sql","core","function","decrementar_stock_reservado"
"012_parciales_backorder.sql","core","function","descontar_stock_y_liberar_reserva"
"012_parciales_backorder.sql","core","policy","pedido_despachos_rls on pedido_despachos"
"012_parciales_backorder.sql","core","policy","pedido_backorders_rls on pedido_backorders"
"014_pedido_gres.sql","ventas,fiscal","table","pedido_gres"
"014_pedido_gres.sql","ventas,fiscal","policy","pedido_gres_rls on pedido_gres"
"016_p3_rma_multialmacen_dashboards.sql","inventario","table","almacenes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","table","almacen_ubicaciones"
"016_p3_rma_multialmacen_dashboards.sql","inventario","table","producto_existencias"
"016_p3_rma_multialmacen_dashboards.sql","inventario","table","rma_solicitudes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","table","rma_items"
"016_p3_rma_multialmacen_dashboards.sql","inventario","table","rma_eventos"
"016_p3_rma_multialmacen_dashboards.sql","inventario","view","v_otif_multialmacen"
"016_p3_rma_multialmacen_dashboards.sql","inventario","view","v_kpis_sunat_multitenant"
"016_p3_rma_multialmacen_dashboards.sql","inventario","function","registrar_movimiento_almacen"
"016_p3_rma_multialmacen_dashboards.sql","inventario","function","rma_retorno_inventario"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","almacenes_select_rls on almacenes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","almacenes_insert_rls on almacenes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","almacenes_update_rls on almacenes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","almacenes_delete_rls on almacenes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","ubicaciones_select_rls on almacen_ubicaciones"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","ubicaciones_insert_rls on almacen_ubicaciones"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","ubicaciones_update_rls on almacen_ubicaciones"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","ubicaciones_delete_rls on almacen_ubicaciones"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","existencias_select_rls on producto_existencias"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","existencias_insert_rls on producto_existencias"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","existencias_update_rls on producto_existencias"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","existencias_delete_rls on producto_existencias"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_select_rls on rma_solicitudes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_insert_rls on rma_solicitudes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_update_rls on rma_solicitudes"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_items_select_rls on rma_items"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_items_insert_rls on rma_items"
"016_p3_rma_multialmacen_dashboards.sql","inventario","policy","rma_items_update_rls on rma_items"
